Date,Open,High,Low,Close,Adj Close,Volume
2017-01-11,74.639999,75.199997,74.459999,75.199997,66.000168,4361400
2017-01-12,75.000000,75.139999,74.089996,74.849998,65.692986,4408200
2017-01-13,74.830002,75.300003,74.730003,75.000000,65.824638,3372500
2017-01-17,74.669998,74.949997,74.290001,74.489998,65.377029,4413100
2017-01-18,74.730003,74.839996,74.250000,74.379997,65.280487,5531400
2017-01-19,74.220001,74.809998,73.870003,73.879997,64.841644,4468500
2017-01-20,74.160004,74.889999,74.160004,74.750000,65.605225,6661400
2017-01-23,74.800003,75.739998,74.639999,75.730003,66.465332,6895100
2017-01-24,76.190002,77.320000,75.910004,77.080002,67.650169,8561600
2017-01-25,77.720001,78.720001,77.190002,78.580002,68.966667,8112800
2017-01-26,78.019997,79.470001,78.010002,79.260002,69.563477,8991500
2017-01-27,79.059998,79.449997,77.739998,78.029999,68.918701,9737300
2017-01-30,77.519997,78.080002,77.349998,77.900002,68.803871,8355200
2017-01-31,77.400002,77.540001,75.250000,75.540001,66.719460,11129400
2017-02-01,76.059998,76.870003,75.860001,76.269997,67.364243,7815800
2017-02-02,75.610001,76.099998,75.339996,75.889999,67.028587,4434500
2017-02-03,76.290001,76.559998,76.029999,76.500000,67.567375,4547000
2017-02-06,76.379997,76.470001,75.849998,76.220001,67.320053,4633000
2017-02-07,76.370003,76.750000,76.040001,76.180000,67.284737,4500900
2017-02-08,76.489998,76.550003,75.919998,75.949997,67.081596,5864700
2017-02-09,76.300003,76.349998,75.269997,75.300003,66.507492,6950500
2017-02-10,75.620003,75.660004,74.519997,75.160004,66.383827,6289400
2017-02-13,75.529999,75.739998,75.389999,75.519997,66.701797,5466200
2017-02-14,75.459999,75.639999,75.300003,75.639999,66.807793,3999800
2017-02-15,75.650002,75.809998,74.930000,75.669998,66.834267,5731500
2017-02-16,75.800003,76.320000,75.519997,76.250000,67.346573,4882000
2017-02-17,76.110001,76.440002,75.660004,76.440002,67.514381,3955300
2017-02-21,76.790001,77.129997,76.589996,77.080002,68.079636,5104700
2017-02-22,77.199997,77.279999,76.800003,77.230003,68.212135,4056600
2017-02-23,77.230003,77.379997,76.690002,77.139999,68.132645,4921700
2017-02-24,76.940002,77.239998,76.400002,77.239998,68.220955,3516600
2017-02-27,77.309998,77.339996,76.760002,77.190002,68.176826,3055400
2017-02-28,77.059998,77.169998,76.459999,76.620003,67.673363,4770500
2017-03-01,77.129997,78.180000,76.680000,78.150002,69.024696,5332500
2017-03-02,78.360001,78.760002,77.940002,78.080002,68.962875,7605500
2017-03-03,78.199997,78.199997,77.459999,77.860001,68.768570,3994800
2017-03-06,77.690002,78.459999,77.400002,78.309998,69.166023,4066400
2017-03-07,78.349998,80.370003,78.209999,79.120003,69.881447,10556800
2017-03-08,79.440002,79.940002,79.160004,79.339996,70.075752,5386500
2017-03-09,79.489998,79.790001,78.800003,79.129997,69.890282,4255400
2017-03-10,79.720001,80.629997,79.300003,80.330002,70.950150,5118200
2017-03-13,80.320000,81.089996,80.180000,81.019997,71.559593,6082600
2017-03-14,80.949997,81.209999,80.620003,81.089996,71.621407,4271400
2017-03-15,81.419998,81.949997,80.959999,81.820000,72.266182,3668800
2017-03-16,81.989998,82.180000,81.379997,81.709999,72.169029,4195600
2017-03-17,82.239998,82.440002,81.440002,82.199997,72.601799,9231700
2017-03-20,81.989998,82.269997,81.540001,81.589996,72.063026,4383000
2017-03-21,81.930000,82.080002,79.669998,79.750000,70.437881,6221000
2017-03-22,80.089996,80.790001,79.580002,80.690002,71.268105,4307300
2017-03-23,80.690002,81.040001,80.230003,80.669998,71.250458,3335200
2017-03-24,81.919998,82.050003,80.430000,80.589996,71.179779,4100300
2017-03-27,79.949997,80.820000,79.709999,80.529999,71.126816,3260800
2017-03-28,80.300003,80.989998,80.220001,80.610001,71.197472,3577900
2017-03-29,80.349998,80.660004,80.260002,80.489998,71.091469,2811600
2017-03-30,80.230003,81.080002,80.230003,81.040001,71.577255,3372800
2017-03-31,80.790001,81.150002,80.540001,80.559998,71.153297,3760900
2017-04-03,80.870003,81.500000,79.790001,80.360001,70.976669,4563900
2017-04-04,80.110001,80.669998,80.110001,80.599998,71.188614,2761500
2017-04-05,80.599998,81.180000,79.980003,80.080002,70.729355,3547900
2017-04-06,79.980003,80.370003,79.400002,80.099998,70.747009,4177700
2017-04-07,80.300003,80.919998,80.080002,80.529999,71.126816,2686800
2017-04-10,80.419998,80.760002,79.919998,80.129997,70.773506,3314700
2017-04-11,79.879997,79.879997,78.199997,79.410004,70.137604,5321300
2017-04-12,79.480003,79.680000,78.199997,78.480003,69.316170,6335000
2017-04-13,78.470001,79.330002,77.830002,77.839996,68.750893,4658300
2017-04-17,78.300003,78.750000,78.120003,78.720001,69.528137,4462400
2017-04-18,78.510002,79.839996,78.349998,79.610001,70.314240,4528900
2017-04-19,79.959999,80.660004,79.279999,79.370003,70.102257,4673700
2017-04-20,79.720001,80.889999,79.510002,80.760002,71.329941,3586300
2017-04-21,79.580002,80.410004,79.239998,79.809998,70.490883,6314400
2017-04-24,81.019997,81.510002,80.849998,81.080002,71.612572,5129200
2017-04-25,81.300003,82.430000,81.110001,82.360001,72.743103,7604100
2017-04-26,82.169998,82.919998,80.790001,81.110001,71.639076,6763900
2017-04-27,80.750000,81.269997,80.360001,80.800003,71.807945,5762500
2017-04-28,81.040001,81.040001,78.650002,79.180000,70.368225,10521800
2017-05-01,79.250000,79.500000,78.400002,79.290001,70.465988,5065500
2017-05-02,79.160004,79.410004,78.790001,79.250000,70.430428,6234500
2017-05-03,79.199997,79.930000,79.000000,79.769997,70.892548,4665000
2017-05-04,79.980003,80.029999,79.080002,79.300003,70.474854,3241300
